Date,Driver,Constructor,Podiums
2014,Max Verstappen,Red Bull,0
2015,Max Verstappen,Red Bull,0
2014,Daniel Ricciardo,Red Bull,8
2014,Lewis Hamilton,Mercedes,16
2015,Daniel Ricciardo,Red Bull,2
2015,Lewis Hamilton,Mercedes,17
2016,Daniel Ricciardo,Red Bull,8
2016,Lewis Hamilton,Mercedes,17
2016,Max Verstappen,Red Bull,7
2017,Daniel Ricciardo,Red Bull,9
2017,Lewis Hamilton,Mercedes,13
2017,Max Verstappen,Red Bull,4
2018,Daniel Ricciardo,Red Bull,2
2018,Lewis Hamilton,Mercedes,17
2018,Max Verstappen,Red Bull,11
2019,Lewis Hamilton,Mercedes,17
2019,Max Verstappen,Red Bull,9
2019,Daniel Ricciardo,Renault,0
2020,Daniel Ricciardo,Renault,2
2020,Lewis Hamilton,Mercedes,14
2020,Max Verstappen,Red Bull,11
2021,Daniel Ricciardo,McLaren,2
2021,Lewis Hamilton,Mercedes,6
2021,Max Verstappen,Red Bull,8
