location,longitude,latitude,count
"Abu Dhabi, UAE",54.6031,24.4672,3
"Austin, USA",-97.6411,30.1328,2
"Baku, Azerbaijan",49.8533,40.3725,1
"Budapest, Hungary",19.2486,47.5789,4
"Hockenheim, Germany",8.56583,49.3278,1
"Imola, Italy",11.7167,44.3439,1
"Kuala Lumpur, Malaysia",101.738,2.76083,2
"Le Castellet, France",5.79167,43.2506,1
"Marina Bay, Singapore",103.864,1.2914,4
"Melbourne, Australia",144.968,-37.8497,2
"Mexico City, Mexico",-99.0907,19.4042,2
"Monte-Carlo, Monaco",7.42056,43.7347,5
"Montmeló, Spain",2.26111,41.57,4
"Montreal, Canada",-73.5228,45.5,3
"Monza, Italy",9.28111,45.6156,4
"Mugello, Italy",11.3719,43.9975,1
"Nürburg, Germany",6.9475,50.3356,1
"Sakhir, Bahrain",50.5106,26.0325,4
"Shanghai, China",121.22,31.3389,4
"Silverstone, UK",-1.01694,52.0786,5
"Sochi, Russia",39.9578,43.4057,1
"Spa, Belgium",5.97139,50.4372,4
"Spielburg, Austria",14.7647,47.2197,2
"Suzuka, Japan",136.541,34.8431,3
"São Paulo, Brazil",-46.6997,-23.7036,1
